,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
837,Cyrille,Diabate,The Snake,"6' 6""",205 lbs.,"81.0""",Southpaw,19,10,1,
838,Thomas,Diagne,,"6' 1""",154 lbs.,--,,6,6,1,
839,Marc,Diakiese,Bonecrusher,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0,
840,Tyler,Diamond,,"5' 7""",145 lbs.,"69.0""",Orthodox,9,1,0,
841,Blood,Diamond,,"5' 11""",170 lbs.,"76.0""",Switch,3,2,0,
842,Eldo Xavier,Dias,,"5' 11""",180 lbs.,--,,0,1,0,
843,Rafael,Dias,,"5' 9""",145 lbs.,--,Orthodox,17,12,2,
844,Hacran,Dias,Barnabe,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,1,
845,Nick,Diaz,,"6' 1""",170 lbs.,"76.0""",Southpaw,26,10,0,
846,Nate,Diaz,,"6' 0""",170 lbs.,"76.0""",Southpaw,22,13,0,
847,Michael,Diaz,,--,260 lbs.,--,,1,2,0,
848,Ryan,Diaz,,--,145 lbs.,--,,13,14,0,
849,Adrian,Diaz,,"5' 10""",145 lbs.,--,Southpaw,11,4,1,
850,Ozzy,Diaz,,"6' 4""",185 lbs.,"79.0""",Orthodox,7,2,0,
851,Mark,Dickman,Tricky,"5' 9""",145 lbs.,--,,11,3,0,
852,Josh,Diekmann,The Freight Train,"5' 4""",246 lbs.,--,,15,8,0,
853,Kyle,Dietz,,"5' 8""",135 lbs.,--,Orthodox,5,2,0,
854,Seth,Dikun,,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0,
855,TJ,Dillashaw,,"5' 6""",135 lbs.,"67.0""",Orthodox,18,4,0,
856,Ralph,Dillon,Rage,"6' 2""",205 lbs.,--,Orthodox,0,2,1,
857,Drew,Dimanlig,,--,185 lbs.,--,,3,4,0,
858,Rodolfo Marques,Diniz,,"5' 6""",135 lbs.,--,,23,9,1,
859,Helio,Dipp,,"6' 5""",185 lbs.,--,Orthodox,6,3,0,
860,Rico,DiSciullo,,"5' 8""",135 lbs.,--,Orthodox,9,2,0,
861,Matt,Dixon,Magic,"5' 10""",170 lbs.,"75.0""",Switch,9,1,0,
862,John,Dixson,Big John,"6' 0""",275 lbs.,--,Orthodox,15,22,0,
863,Anthony,Do,,"5' 4""",125 lbs.,--,,4,2,0,
864,Russell,Doane,,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,0,
865,Drew,Dober,,"5' 8""",155 lbs.,"70.0""",Southpaw,25,11,0,
866,Shana,Dobson,Danger,"5' 6""",125 lbs.,"69.0""",Orthodox,4,5,0,
867,AJ,Dobson,,"6' 1""",185 lbs.,"76.0""",Orthodox,6,1,0,
868,David,Dodd,,"6' 2""",200 lbs.,--,Orthodox,4,7,0,
869,John,Dodson,The Magician,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,0,
870,Joe,Doerksen,El Dirte,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,0,
871,Mike,Dolce,Skull Cracker,"5' 11""",185 lbs.,--,,5,10,0,
872,Roman,Dolidze,,"6' 2""",185 lbs.,"76.0""",Orthodox,10,1,0,
873,Cameron,Dollar,,"5' 11""",155 lbs.,--,Orthodox,11,5,0,
874,CB,Dollaway,The Doberman,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,0,
875,Dennis,Dombrow,,--,145 lbs.,--,,7,5,0,
876,OJ,Dominguez,,--,--,--,,0,1,0,
877,John,Donaldson,J.T.,"5' 8""",145 lbs.,--,,2,2,0,
878,Cody,Donovan,Donnybrook,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,0,
879,Houston,Dorr,,"6' 1""",210 lbs.,--,Orthodox,1,2,0,
880,Rafael,Dos Anjos,,"5' 8""",155 lbs.,"70.0""",Southpaw,31,14,0,
881,Junior,Dos Santos,Cigano,"6' 4""",238 lbs.,"77.0""",Orthodox,21,9,0,
882,Geronimo,dos Santos,Mondragon,"6' 3""",264 lbs.,--,Orthodox,39,19,0,
883,Antonio,Dos Santos,Junior Alpha,"5' 10""",185 lbs.,--,Orthodox,6,4,0,
884,Anderson,Dos Santos,Berinja,"5' 5""",135 lbs.,"70.0""",Orthodox,21,9,0,
885,Acacio,Dos Santos,Pequeno,"6' 4""",205 lbs.,"79.0""",Orthodox,14,5,0,
886,Tiago,dos Santos e Silva,Trator,"5' 9""",145 lbs.,"70.0""",Orthodox,20,7,2,
887,Oleksandr,Doskalchuk,,"5' 6""",125 lbs.,--,Southpaw,10,2,0,
888,David,Douglas,Tarzan,"5' 11""",155 lbs.,--,,9,7,0,
889,Damion,Douglas,,--,170 lbs.,--,,4,1,0,
890,Cedric,Doumbe,,"5' 10""",170 lbs.,--,,2,0,0,
891,John,Dowdy,,--,--,--,,0,1,0,
892,Jordan,Dowdy,,--,170 lbs.,--,,4,3,0,
893,Danny,Downes,,"6' 0""",155 lbs.,"72.0""",Orthodox,8,3,0,
894,Derek,Downey,,"6' 1""",185 lbs.,--,Orthodox,11,4,0,
895,John,Doyle,The Iron Bull,"5' 11""",205 lbs.,--,Orthodox,11,22,0,
896,Edson,Drago,,"6' 4""",220 lbs.,--,Orthodox,11,7,0,
897,Kyle,Driscoll,KD,"5' 11""",145 lbs.,"74.0""",Orthodox,12,3,0,
898,Chris,Drumm,,"5' 8""",145 lbs.,--,,0,1,0,
899,Tomasz,Drwal,Gorilla,"6' 1""",205 lbs.,"76.0""",Orthodox,21,5,1,
900,Robert,Drysdale,,"6' 3""",205 lbs.,--,Orthodox,7,0,0,
901,Dricus,Du Plessis,Stillknocks,"6' 1""",185 lbs.,"76.0""",Switch,17,2,0,
902,Hugo,Duarte,,"6' 0""",240 lbs.,--,Orthodox,6,3,0,
903,Antonio,Duarte,Tigre,"5' 7""",135 lbs.,--,,19,7,0,
904,Joe,Duarte,,--,155 lbs.,--,,10,4,0,
905,Emily,Ducote,Gordinha,"5' 2""",115 lbs.,"63.0""",Orthodox,12,6,0,
906,Viktoriia,Dudakova,,"5' 5""",115 lbs.,"67.0""",Orthodox,6,0,0,
907,Milana,Dudieva,,"5' 3""",135 lbs.,--,Orthodox,11,6,0,
908,Adin,Duenas,,"5' 6""",145 lbs.,--,,6,1,0,
909,Todd,Duffee,,"6' 3""",260 lbs.,"78.0""",Orthodox,9,3,0,
910,Joe,Duffy,Irish,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0,
911,Alexis,Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,6,3,0,
912,Jessamyn,Duke,The Gun,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0,
913,Kelly,Dullanty,Psycho,"5' 8""",155 lbs.,--,Orthodox,4,2,0,
914,Sedriques,Dumas,The Reaper,"6' 2""",185 lbs.,"79.0""",Orthodox,7,0,0,
915,Norma,Dumont,The Immortal,"5' 7""",145 lbs.,"67.0""",Orthodox,8,2,0,
916,Chris,Duncan,The Problem,"5' 10""",155 lbs.,"71.0""",Orthodox,9,1,0,
917,Evan,Dunham,,"5' 10""",155 lbs.,"70.0""",Southpaw,18,9,1,
918,Alex,Dunworth,,"5' 8""",155 lbs.,--,,2,2,0,
919,Tom,Duquesnoy,Fire Kid,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0,
920,Albert,Duraev,,"5' 11""",185 lbs.,"75.0""",Orthodox,15,4,0,
921,Reuben,Duran,,"5' 7""",135 lbs.,"71.0""",Orthodox,11,7,1,
922,Cody,Durden,,"5' 7""",125 lbs.,"67.0""",Southpaw,13,4,1,
923,Luiz,Dutra,Besouro,"5' 11""",170 lbs.,--,Orthodox,13,6,1,
924,Rilley,Dutro,,"5' 8""",125 lbs.,--,Orthodox,11,4,0,
925,Bill,Duvall,,"6' 2""",185 lbs.,--,Southpaw,1,2,0,
926,Merab,Dvalishvili,The Machine,"5' 6""",135 lbs.,"68.0""",Orthodox,15,4,0,
927,David,Dvorak,Undertaker,"5' 5""",125 lbs.,"68.0""",Orthodox,20,4,0,
928,Matt,Dwyer,,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0,
929,Rolando,Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1,
930,,,,,,,,,,,
931,Ben,Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3,0,
932,Cody,East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3,0,
933,Marvin,Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1,
934,Mike,Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0,
935,Maurice,Eazel,,"5' 7""",135 lbs.,--,,7,15,0,
936,Vincent,Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2,0,
937,Ross,Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10,0,
938,Brian,Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1,
939,Roybert,Echeverria,The Unbroken,"5' 5""",125 lbs.,"67.0""",Switch,7,1,0,
940,Mark,Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0,
941,Frankie,Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,10,1,
942,Abdul-Kerim,Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4,0,
943,Johnny,Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13,0,
944,Yves,Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1,
945,Justin,Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0,
946,Leon,Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,20,3,0,
947,Te,Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0,
948,Adli,Edwards,,--,145 lbs.,--,,4,1,0,
949,Joselyne,Edwards,La Pantera,"5' 8""",145 lbs.,"70.0""",Orthodox,12,4,0,
950,Tom,Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5,0,
951,Stephanie,Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,8,3,0,
952,Justin,Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7,1,
953,Jon Olav,Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3,0,
954,Per,Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1,
955,John,Elam,,--,--,--,,2,0,0,
956,Evan,Elder,The Phenom,"5' 10""",170 lbs.,"72.0""",Switch,7,1,0,
957,John Paul,Elias,,"6' 4""",205 lbs.,--,,3,1,0,
958,Joao,Elias,Alicate,"5' 3""",125 lbs.,"64.0""",Southpaw,17,4,1,
959,Saul,Elizondo,,"5' 7""",135 lbs.,--,,6,8,0,
960,Darren,Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,28,10,0,
961,Jake,Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0,
962,Joe,Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0,
963,Tim,Elliott,,"5' 7""",125 lbs.,"66.0""",Southpaw,19,12,1,
964,Eddy,Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,21,16,1,
965,Lisa,Ellis,,"5' 4""",115 lbs.,--,,15,11,0,
966,Anna,Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,3,2,0,
967,Cameron,Else,Camchida,"5' 9""",135 lbs.,"71.0""",Switch,10,6,0,
968,Aaron,Ely,The Cyborg,"5' 8""",135 lbs.,--,,5,2,0,
969,Sovannahry,Em,The Sweet Savage,"5' 4""",135 lbs.,--,,3,1,0,
970,Ramazan,Emeev,Gorets,"5' 10""",170 lbs.,"76.0""",Southpaw,20,6,0,
971,Aleksander,Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,23,7,0,
972,Fedor,Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0,
973,Rob,Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0,
974,Jamall,Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,18,6,0,
975,Josh,Emmett,,"5' 6""",145 lbs.,"70.0""",Orthodox,18,2,0,
976,Marius,Enache,,"5' 11""",155 lbs.,--,,3,3,0,
977,Kevin,Engel,The Hitman,"6' 2""",170 lbs.,--,,5,1,0,
978,Kolton,Englund,White Assassin,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0,
979,Oliver,Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0,
980,Alex,Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0,
981,Kenny,Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0,
982,Ian,Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0,
983,Andy,Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0,
984,Won Jin,Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1,
985,Josh,Epps,,--,130 lbs.,--,,6,7,0,
986,Stephen,Erczeg,,--,125 lbs.,--,,7,1,0,
987,Tom,Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1,
988,Konstantin,Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0,
989,Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,28,10,0,
990,Jarno,Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,13,4,1,
991,Nick,Ertl,,"5' 9""",155 lbs.,--,,8,6,0,
992,Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0,
993,Bobby,Escalante,,--,130 lbs.,--,,5,6,0,
994,Eric,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1,
995,Pro,Escobedo,,--,205 lbs.,--,,1,0,0,
996,Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0,
997,Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,
998,Evan,Esguerra,,--,145 lbs.,--,,8,7,0,
999,Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,6,0,
1000,Juan,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",,11,2,0,
1001,Jordan,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0,
1002,Jodie,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0,
1003,Rafael,Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,11,0,0,
1004,Achilles,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0,
1005,Shaun,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0,
1006,Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,
1007,Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,
1008,Scott,Ettling,,--,135 lbs.,--,,4,2,0,
1009,Sijara,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0,
1010,Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,
1011,Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,
1012,Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,
1013,Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,5,0,
1014,Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,
1015,Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,
1016,Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,16,0,0,
1017,Andre,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0,
1018,Neal,Ewing,,--,185 lbs.,--,,6,0,0,
1019,Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0,
1020,,,,,,,,,,,
1021,Edward,Faaloloto,,--,155 lbs.,"70.0""",,2,5,0,
1022,Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0,
1023,Melinda,Fabian,,"5' 6""",125 lbs.,"66.0""",,4,4,2,
1024,Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0,
1025,Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0,
1026,Ron,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0,
1027,Jason,Fairn,,"6' 1""",230 lbs.,--,,4,5,0,
1028,Zarah,Fairn,Infinite,"5' 8""",145 lbs.,"72.0""",Orthodox,6,4,0,
1029,Rinat,Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,19,1,0,
1030,Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0,
1031,Pedro,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,15,3,0,
1032,Brodie,Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0,
1033,Joao Paulo,Faria,,"5' 9""",155 lbs.,--,,1,1,0,
1034,Kalindra,Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1,
1035,Chance,Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0,
1036,Rico,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0,
1037,Kelly,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0,
1038,Rodney,Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3,
1039,Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0,
1040,Carlos,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0,
1041,JP,Felty,,--,170 lbs.,--,,4,5,0,
1042,Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0,
1043,Rhadi,Ferguson,,"5' 7""",205 lbs.,--,,3,0,0,
1044,Tony,Ferguson,El Cucuy,"5' 11""",155 lbs.,"76.0""",Orthodox,26,8,0,
1045,Josh,Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0,
1046,CJ,Fernandes,,"6' 2""",170 lbs.,--,,14,8,3,
1047,Bibiano,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0,
1048,Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0,
1049,Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0,
1050,Diego,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,17,5,0,
1051,Erisson,Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0,
1052,Brunno,Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,9,0,0,
1053,Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0,
1054,Timo,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0,
1055,Andre,Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,5,0,
1056,Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0,
1057,Scott,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0,
1058,Ron,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1,
1059,Michal,Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8,1,0,
1060,Deiveson,Figueiredo,Deus da Guerra,"5' 5""",125 lbs.,"68.0""",Orthodox,21,2,1,
1061,Francisco,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1,
1062,Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1,
1063,Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0,
1064,Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3,
1065,Jafel,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,14,2,0,
1066,Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,22,9,0,
1067,Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2,
1068,Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0,
1069,Jesse,Finney,,"6' 0""",170 lbs.,--,,5,1,0,
1070,Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0,
1071,Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0,
1072,Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,9,1,0,
1073,Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0,
1074,Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0,
1075,Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1,
1076,Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0,
1077,Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,
1078,Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,
1079,Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,1,0,
1080,Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,
1081,AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,9,2,0,
1082,Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,16,5,0,
1083,Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,
1084,Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,
1085,Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,
1086,Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,
1087,Darrius,Flowers,Beast Mode,"5' 9""",170 lbs.,"71.0""",Orthodox,12,5,1,
1088,Cody,Floyd,,--,--,--,,2,0,0,
1089,Bobby,Flynn,,--,170 lbs.,--,,6,4,0,
1090,Caros,Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0,
1091,Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0,
1092,Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0,
1093,AJ,Fonseca,,"5' 4""",145 lbs.,--,,5,4,0,
1094,Rob,Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,19,6,0,
1095,Claudionor,Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1,
1096,Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0,
1097,Sterling,Ford,,"5' 10""",155 lbs.,--,,15,7,0,
1098,Codale,Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0,
1099,Jussier,Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0,
1100,Renee,Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0,
1101,Brianna,Fortino,The Bull,"5' 0""",115 lbs.,"62.0""",Southpaw,9,3,0,
1102,Marcel,Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0,
1103,Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0,
1104,Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0,
1105,Mason,Fowler,,"5' 11""",170 lbs.,--,,2,0,0,
1106,Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0,
1107,Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0,
1108,Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0,
1109,Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13,5,1,
1110,John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,
1111,Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0,
1112,Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0,
1113,Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0,
1114,Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0,
1115,Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0,
1116,Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0,
1117,Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1,
1118,Jason,Freeman,,"6' 2""",225 lbs.,--,,6,4,0,
1119,Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,,26,6,0,
1120,Patricio,Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0,
1121,Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0,
1122,Jeremy,Freitag,,"6' 1""",205 lbs.,--,,6,10,0,
1123,Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0,
1124,Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,
1125,Josh,Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,9,3,0,
1126,Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0,
1127,Mike,French,,"5' 10""",145 lbs.,--,,9,10,0,
1128,Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,9,3,1,
1129,Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,7,0,
1130,Artem,Frolov,,"5' 10""",185 lbs.,--,,11,0,0,
1131,Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0,
1132,Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1,
1133,Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1,
1134,Adam,Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,8,3,0,
1135,Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0,
1136,Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1,
1137,Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,
1138,Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,
1139,Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,
1140,Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,
1141,Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,
1142,Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,
1143,Sam,Fulton,,--,--,--,,0,2,0,
1144,Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,
1145,Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,
